ACCESSION_NUMBER,NONDERIV_HOLDING_SK,SECURITY_TITLE,SECURITY_TITLE_FN,SHRS_OWND_FOLWNG_TRANS,SHRS_OWND_FOLWNG_TRANS_FN,VALU_OWND_FOLWNG_TRANS,DIRECT_INDIRECT_OWNERSHIP,DIRECT_INDIRECT_OWNERSHIP_FN,NATURE_OF_OWNERSHIP,NATURE_OF_OWNERSHIP_FN,FILING_DATE,PERIOD_OF_REPORT,DATE_OF_ORIG_SUB,NO_SECURITIES_OWNED,NOT_SUBJECT_SEC16,FORM3_HOLDINGS_REPORTED,FORM4_TRANS_REPORTED,DOCUMENT_TYPE,ISSUERCIK,ISSUERNAME,ISSUERTRADINGSYMBOL,REMARKS,cik,ticker,sector,industry,filed_date
0001209191-22-051688,2054374,Common Stock,,4654528.0,,,I,,"Pharma Investors, LLC",F3,30-SEP-2022,21-APR-2022,,,0,,,4,1815974,"Anebulo Pharmaceuticals, Inc.",ANEB,,0001815974,ANEB,,,2022-09-30
0001209191-22-051682,2054232,Common Stock,,359318.0,"F1, F2",,D,,,,30-SEP-2022,26-SEP-2022,28-SEP-2022,,0,,,4/A,1649094,"Vaxcyte, Inc.",PCVX,This amendment to Form 4 is being filed solely to report exempt transfers pursuant to a domestic relations order that were not reported in the original Form 4 filing as final numbers were not yet available at the time of filing.,0001649094,PCVX,,,2022-09-30
0001213900-22-060832,2054333,"Common Stock, $0.001 par value",,17613714.0,,,I,,See footnotes,"F3, F4, F2, F5",30-SEP-2022,30-SEP-2022,,,0,,,4,1491419,"LiveOne, Inc.",LVO,,0001491419,LVO,,,2022-09-30
0000899243-22-032347,2054206,Common Stock,,1000.0,,,D,,,,30-SEP-2022,30-SEP-2022,,0.0,,,,3,1893653,"OmniAb, Inc.",NONE,,0001893653,,,,2022-09-30
0001104659-22-104744,2054272,Common Stock,,1273819.0,,,I,,See footnote,F2,30-SEP-2022,28-SEP-2022,,,0,,,4,1173281,"NeuBase Therapeutics, Inc.",NBSE,,0001173281,,,,2022-09-30
0000899243-22-032344,2054210,Common Stock,,3924.0,F3,,I,,"By Flagship Pioneering, Inc.",F3,30-SEP-2022,28-SEP-2022,,,0,,,4,1682852,"Moderna, Inc.",MRNA,,0001682852,MRNA,,,2022-09-30
0000899243-22-032344,2054209,Common Stock,,12882819.0,F2,,I,,"By Flagship Ventures Fund IV, L.P. and Flagship Ventures Fund IV-Rx, L.P.",F2,30-SEP-2022,28-SEP-2022,,,0,,,4,1682852,"Moderna, Inc.",MRNA,,0001682852,MRNA,,,2022-09-30
0001327811-22-000162,2054104,Class A Common Stock,,5077.0,,,I,,By the Bozzini Irrevocable Trust dtd 7/12/2012 FBO Child 1,,30-SEP-2022,28-SEP-2022,,,0,,,4,1327811,"Workday, Inc.",WDAY,,0001327811,WDAY,,,2022-09-30
0001327811-22-000162,2054107,Class A Common Stock,,30517.0,,,I,,2020 GRAT 1,F5,30-SEP-2022,28-SEP-2022,,,0,,,4,1327811,"Workday, Inc.",WDAY,,0001327811,WDAY,,,2022-09-30
0001327811-22-000162,2054108,Class A Common Stock,,30517.0,,,I,,2020 GRAT 2,F4,30-SEP-2022,28-SEP-2022,,,0,,,4,1327811,"Workday, Inc.",WDAY,,0001327811,WDAY,,,2022-09-30
0001327811-22-000162,2054105,Class A Common Stock,,5077.0,,,I,,By the Bozzini Irrevocable Trust dtd 7/12/2012 FBO Child 2,,30-SEP-2022,28-SEP-2022,,,0,,,4,1327811,"Workday, Inc.",WDAY,,0001327811,WDAY,,,2022-09-30
0001327811-22-000162,2054106,Class A Common Stock,,5077.0,,,I,,By the Bozzini Irrevocable Trust dtd 7/12/2012 FBO Child 3,,30-SEP-2022,28-SEP-2022,,,0,,,4,1327811,"Workday, Inc.",WDAY,,0001327811,WDAY,,,2022-09-30
0001628280-22-025817,2054217,Common Stock,,76939.0,F1,,D,,,,30-SEP-2022,05-MAY-2022,16-MAY-2022,0.0,,,,3/A,1083446,"Apollo Medical Holdings, Inc.",AMEH,Interim Chief Financial Officer,0001083446,ASTH,,,2022-09-30
0000950142-22-002816,2054269,Class A Common Stock,,3614000.0,,,I,,See footnote,F3,30-SEP-2022,06-JUN-2022,,,0,,,4,1828937,Finance of America Companies Inc.,FOA,,0001828937,FOACW,,,2022-09-30
0001157523-22-001277,2054162,,,0.0,,,D,,,,30-SEP-2022,22-SEP-2022,,0.0,,,,3,887921,REVLON INC /DE/,REV,"As reported in a Current Report on Form 8-K filed with the SEC on September 28, 2022, the Reporting Person was elected Interim Chief Accounting Officer & Controller of the Issuer effective as of September 22, 2022. Exhibit List: Exhibit 24 - Power of Attorney",0000887921,,,,2022-09-30
0001209191-22-051678,2054154,Common Stock,,22913.0,,,D,,,,30-SEP-2022,28-SEP-2022,,,0,,,4,730255,CalAmp Corp.,CAMP,,0000730255,,,,2022-09-30
0000950103-22-016932,2054030,Class A common stock,,38000.0,,,I,,The Potomac 2011 Irrevocable Trust,F5,30-SEP-2022,02-JUN-2022,,,0,,,4,1535527,"CrowdStrike Holdings, Inc.",CRWD,,0001535527,CRWD,,,2022-09-30
0000950103-22-016932,2054031,Class A common stock,,620360.0,,,I,,Accel Leaders Fund L.P.,F6,30-SEP-2022,02-JUN-2022,,,0,,,4,1535527,"CrowdStrike Holdings, Inc.",CRWD,,0001535527,CRWD,,,2022-09-30
0000950103-22-016932,2054032,Class A common stock,,29640.0,,,I,,Accel Leaders Fund Investors 2016 L.L.C.,F7,30-SEP-2022,02-JUN-2022,,,0,,,4,1535527,"CrowdStrike Holdings, Inc.",CRWD,,0001535527,CRWD,,,2022-09-30
