ACCESSION_NUMBER,NONDERIV_HOLDING_SK,SECURITY_TITLE,SECURITY_TITLE_FN,SHRS_OWND_FOLWNG_TRANS,SHRS_OWND_FOLWNG_TRANS_FN,VALU_OWND_FOLWNG_TRANS,VALU_OWND_FOLWNG_TRANS_FN,DIRECT_INDIRECT_OWNERSHIP,DIRECT_INDIRECT_OWNERSHIP_FN,NATURE_OF_OWNERSHIP,NATURE_OF_OWNERSHIP_FN,FILING_DATE,PERIOD_OF_REPORT,DATE_OF_ORIG_SUB,NO_SECURITIES_OWNED,NOT_SUBJECT_SEC16,FORM3_HOLDINGS_REPORTED,FORM4_TRANS_REPORTED,DOCUMENT_TYPE,ISSUERCIK,ISSUERNAME,ISSUERTRADINGSYMBOL,REMARKS,cik,ticker,sector,industry,filed_date
0000899243-20-035568,262274,Common Units,,2011447.0,,,,I,,See Footnotes,"F15, F16, F4, F8, F14, F13",31-DEC-2020,30-DEC-2020,,,0,,,4,1383650,"Cheniere Energy Partners, L.P.",CQP,,0001383650,CQP,,,2020-12-31
0000899243-20-035568,262278,Common Units,,462922.0,,,,I,,See Footnotes,"F15, F12, F16, F11, F14, F13",31-DEC-2020,30-DEC-2020,,,0,,,4,1383650,"Cheniere Energy Partners, L.P.",CQP,,0001383650,CQP,,,2020-12-31
0000899243-20-035568,262277,Common Units,,953855.0,,,,I,,See Footnotes,"F15, F12, F16, F14, F13, F10",31-DEC-2020,30-DEC-2020,,,0,,,4,1383650,"Cheniere Energy Partners, L.P.",CQP,,0001383650,CQP,,,2020-12-31
0000899243-20-035568,262276,Common Units,,953855.0,,,,I,,See Footnotes,"F15, F9, F12, F16, F14, F13",31-DEC-2020,30-DEC-2020,,,0,,,4,1383650,"Cheniere Energy Partners, L.P.",CQP,,0001383650,CQP,,,2020-12-31
0000899243-20-035568,262275,Common Units,,13170436.0,,,,I,,See Footnotes,"F15, F16, F6, F8, F14, F13",31-DEC-2020,30-DEC-2020,,,0,,,4,1383650,"Cheniere Energy Partners, L.P.",CQP,,0001383650,CQP,,,2020-12-31
0000899243-20-035568,262273,Common Units,,185808450.0,,,,I,,See Footnotes,"F15, F16, F8, F14, F13, F3",31-DEC-2020,30-DEC-2020,,,0,,,4,1383650,"Cheniere Energy Partners, L.P.",CQP,,0001383650,CQP,,,2020-12-31
0001225208-20-015152,139926,Common Stock,,5342.51,,,,I,,By IRA,,31-DEC-2020,01-JUN-2020,,,,,,4,1692115,"Southwest Gas Holdings, Inc.",SWX,Amounts voluntarily reported were acquired through exempt dividend reinvestment transactions.,0001692115,SWX,,,2020-12-31
0001225208-20-015152,139927,Common Stock,,2422.35,,,,I,,By Spouse,,31-DEC-2020,01-JUN-2020,,,,,,4,1692115,"Southwest Gas Holdings, Inc.",SWX,Amounts voluntarily reported were acquired through exempt dividend reinvestment transactions.,0001692115,SWX,,,2020-12-31
0001225208-20-015151,195345,Common Stock,,996.0,,,,I,,By Spouse,,31-DEC-2020,02-MAR-2020,,,,,,4,1692115,"Southwest Gas Holdings, Inc.",SWX,Amounts voluntarily reported were acquired through exempt dividend reinvestment transactions.,0001692115,SWX,,,2020-12-31
0000899243-20-035567,262930,Common Units,,2011447.0,,,,I,,See Footnotes,"F15, F16, F4, F8, F14, F13",31-DEC-2020,30-DEC-2020,,,0,,,4,1383650,"Cheniere Energy Partners, L.P.",CQP,,0001383650,CQP,,,2020-12-31
0000899243-20-035567,262933,Common Units,,953855.0,,,,I,,See Footnotes,"F15, F12, F16, F14, F13, F10",31-DEC-2020,30-DEC-2020,,,0,,,4,1383650,"Cheniere Energy Partners, L.P.",CQP,,0001383650,CQP,,,2020-12-31
0000899243-20-035567,262934,Common Units,,462922.0,,,,I,,See Footnotes,"F15, F12, F16, F11, F14, F13",31-DEC-2020,30-DEC-2020,,,0,,,4,1383650,"Cheniere Energy Partners, L.P.",CQP,,0001383650,CQP,,,2020-12-31
0000899243-20-035567,262929,Common Units,,185808450.0,,,,I,,See Footnotes,"F15, F16, F8, F14, F13, F3",31-DEC-2020,30-DEC-2020,,,0,,,4,1383650,"Cheniere Energy Partners, L.P.",CQP,,0001383650,CQP,,,2020-12-31
0000899243-20-035567,262931,Common Units,,13170436.0,,,,I,,See Footnotes,"F15, F16, F6, F8, F14, F13",31-DEC-2020,30-DEC-2020,,,0,,,4,1383650,"Cheniere Energy Partners, L.P.",CQP,,0001383650,CQP,,,2020-12-31
0000899243-20-035567,262932,Common Units,,953855.0,,,,I,,See Footnotes,"F15, F9, F12, F16, F14, F13",31-DEC-2020,30-DEC-2020,,,0,,,4,1383650,"Cheniere Energy Partners, L.P.",CQP,,0001383650,CQP,,,2020-12-31
0001209191-20-065776,221332,Common Stock,,353200.0,,,,I,,See footnote,F2,31-DEC-2020,29-DEC-2020,,,0,,,4,1564824,Allakos Inc.,ALLK,,0001564824,,,,2020-12-31
0001209191-20-065775,198374,Common Stock,,2600.0,,,,I,,See footnote,F1,31-DEC-2020,21-DEC-2020,,0.0,,,,3,1564824,Allakos Inc.,ALLK,,0001564824,,,,2020-12-31
0000950103-20-025105,186528,Class A Ordinary Shares,,19020.0,,,,I,,By IRA,,31-DEC-2020,21-DEC-2020,,0.0,,,,3,1802768,Royalty Pharma plc,RPRX,Exhibit List - Exhibit 24.1 - Power of Attorney,0001802768,RPRX,,,2020-12-31
0001506293-20-000311,156767,Class A Common Stock,,23111.0,F5,,,D,,,,31-DEC-2020,29-DEC-2020,,,0,,,4,1506293,"PINTEREST, INC.",PINS,"The Power of Attorney for Mr. Jeffrey Jordan is filed as an exhibit to the Form 3 filed by Mr. Jordan with the Securities and Exchange Commission on April 17, 2019, which is hereby incorporated by reference.",0001506293,PINS,,,2020-12-31
0001582945-20-000009,186777,Common Stock,,25482.0,,,,D,,,,31-DEC-2020,06-AUG-2020,,0.0,,,,3,1425627,"SOBR Safe, Inc.",SOBR,,0001425627,SOBR,,,2020-12-31
