ACCESSION_NUMBER,NONDERIV_HOLDING_SK,SECURITY_TITLE,SECURITY_TITLE_FN,TRANS_FORM_TYPE,SHRS_OWND_FOLWNG_TRANS,SHRS_OWND_FOLWNG_TRANS_FN,VALU_OWND_FOLWNG_TRANS,DIRECT_INDIRECT_OWNERSHIP,DIRECT_INDIRECT_OWNERSHIP_FN,NATURE_OF_OWNERSHIP,NATURE_OF_OWNERSHIP_FN,FILING_DATE,PERIOD_OF_REPORT,DATE_OF_ORIG_SUB,NO_SECURITIES_OWNED,NOT_SUBJECT_SEC16,FORM3_HOLDINGS_REPORTED,FORM4_TRANS_REPORTED,DOCUMENT_TYPE,ISSUERCIK,ISSUERNAME,ISSUERTRADINGSYMBOL,REMARKS,cik,ticker,sector,industry,filed_date
0001127602-21-026117,1959432,Common Stock,,,1200.0,,,D,,,,30-SEP-2021,30-SEP-2021,,,,,,4,1527383,BankGuam Holding Co,BKGM,,0001527383,BKGM,,,2021-09-30
0000899243-21-038554,1959757,Common Stock,,,834.0,,,I,,By LLC,,30-SEP-2021,28-SEP-2021,,,0,,,4,798528,ODYSSEY MARINE EXPLORATION INC,OMEX,,0000798528,OMEX,,,2021-09-30
0001654954-21-010627,1959533,Common Stock,,,58181.0,,,I,,By Trust,F2,30-SEP-2021,28-SEP-2021,,,,,,4,1040470,AEHR TEST SYSTEMS,AEHR,Ex 24-Power of Attorney,0001040470,AEHR,,,2021-09-30
0001654954-21-010627,1959534,Common Stock,,,151016.0,,,I,,By Trust,F3,30-SEP-2021,28-SEP-2021,,,,,,4,1040470,AEHR TEST SYSTEMS,AEHR,Ex 24-Power of Attorney,0001040470,AEHR,,,2021-09-30
0001654954-21-010627,1959535,Common Stock,,,27000.0,,,I,,By Managed Account,,30-SEP-2021,28-SEP-2021,,,,,,4,1040470,AEHR TEST SYSTEMS,AEHR,Ex 24-Power of Attorney,0001040470,AEHR,,,2021-09-30
0000899243-21-038532,1959838,Common Stock,,,737253.0,,,D,,,,30-SEP-2021,30-SEP-2021,,0.0,,,,3,1868726,"OLAPLEX HOLDINGS, INC.",OLPX,"Chief Operating Officer, Chief Legal Officer and Secretary  Exhibits 24.1 - Power of Attorney",0001868726,OLPX,,,2021-09-30
0000899243-21-038531,1959853,Common Stock,,,424562.0,,,D,,,,30-SEP-2021,30-SEP-2021,,0.0,,,,3,1868726,"OLAPLEX HOLDINGS, INC.",OLPX,President and Chief Executive Officer  Exhibits 24.1 - Power of Attorney,0001868726,OLPX,,,2021-09-30
0000899243-21-038529,1959692,Common Stock,,,269989.0,,,D,,,,30-SEP-2021,30-SEP-2021,,0.0,,,,3,1868726,"OLAPLEX HOLDINGS, INC.",OLPX,Exhibits 24.1 - Power of Attorney,0001868726,OLPX,,,2021-09-30
0000899243-21-038523,1959641,Common Stock,,,148064.0,,,I,,"By: Anthos Tribe, L.P.",F2,30-SEP-2021,30-SEP-2021,,0.0,,,,3,1868726,"OLAPLEX HOLDINGS, INC.",OLPX,Exhibits 24.1 - Power of Attorney,0001868726,OLPX,,,2021-09-30
0000899243-21-038523,1959640,Common Stock,,,23476117.0,,,I,,"By: Anthos Capital IV, L.P.",F1,30-SEP-2021,30-SEP-2021,,0.0,,,,3,1868726,"OLAPLEX HOLDINGS, INC.",OLPX,Exhibits 24.1 - Power of Attorney,0001868726,OLPX,,,2021-09-30
0000899243-21-038520,1959771,Common Stock,,,337488.0,,,D,,,,30-SEP-2021,30-SEP-2021,,0.0,,,,3,1868726,"OLAPLEX HOLDINGS, INC.",OLPX,Exhibits 24.1 - Power of Attorney,0001868726,OLPX,,,2021-09-30
0001140361-21-033166,1959370,Common Stock,,,578486455.0,F1,,I,,See notes,"F2, F3, F1",30-SEP-2021,30-SEP-2021,,0.0,,,,3,1868726,"OLAPLEX HOLDINGS, INC.",OLPX,"David Mussafer, the Chairman and Managing Partner of Advent, Tricia Glynn, a Managing Director of Advent and Michael White, a Principal of Advent (together, the ""Advent Directors""), each serve on the board of directors of the Issuer, and have been deputized to represent the Reporting Persons on the board of directors. By virtue of the Advent Directors' representation, for purposes of Section 16 of the Securities Exchange Act of 1934, each of the Reporting Persons may be deemed directors by deputization of the Issuer. The Advent Directors have filed separate Section 16 reports disclosing securities of the Issuer that they may be deemed to beneficially own for Section 16 purposes.   Exhibit 99.1 (Footnotes to Form 3) and Exhibit 99.2 (Signatures and Joint Filer Information) are incorporated by reference.   Form 3 of 3: This Form 3 is the third of three Forms 3 being filed relating to the same event. The Form 3 has been split into multiple filings because there are more than 10 Reporting Persons total, and the SEC's EDGAR filing system limits a single Form 3 to a maximum of 10 Reporting Persons. Each Form 3 will be filed by Designated Filer Advent International Corporation.",0001868726,OLPX,,,2021-09-30
0001140361-21-033165,1959593,Common Stock,,,578486455.0,F1,,I,,See notes,"F2, F3, F1",30-SEP-2021,30-SEP-2021,,0.0,,,,3,1868726,"OLAPLEX HOLDINGS, INC.",OLPX,"David Mussafer, the Chairman and Managing Partner of Advent, Tricia Glynn, a Managing Director of Advent and Michael White, a Principal of Advent (together, the ""Advent Directors""), each serve on the board of directors of the Issuer, and have been deputized to represent the Reporting Persons on the board of directors. By virtue of the Advent Directors' representation, for purposes of Section 16 of the Securities Exchange Act of 1934, each of the Reporting Persons may be deemed directors by deputization of the Issuer. The Advent Directors have filed separate Section 16 reports disclosing securities of the Issuer that they may be deemed to beneficially own for Section 16 purposes.   Exhibit 99.1 (Footnotes to Form 3) and Exhibit 99.2 (Signatures and Joint Filer Information) are incorporated by reference.   Form 2 of 3: This Form 3 is the second of three Forms 3 being filed relating to the same event. The Form 3 has been split into multiple filings because there are more than 10 Reporting Persons total, and the SEC's EDGAR filing system limits a single Form 3 to a maximum of 10 Reporting Persons. Each Form 3 will be filed by Designated Filer Advent International Corporation.",0001868726,OLPX,,,2021-09-30
0001140361-21-033164,1959804,Common Stock,,,578486455.0,F1,,I,,See notes,"F2, F3, F1",30-SEP-2021,30-SEP-2021,,0.0,,,,3,1868726,"OLAPLEX HOLDINGS, INC.",OLPX,"David Mussafer, the Chairman and Managing Partner of Advent, Tricia Glynn, a Managing Director of Advent and Michael White, a Principal of Advent (together, the ""Advent Directors""), each serve on the board of directors of the Issuer, and have been deputized to represent the Reporting Persons on the board of directors. By virtue of the Advent Directors' representation, for purposes of Section 16 of the Securities Exchange Act of 1934, each of the Reporting Persons may be deemed directors by deputization of the Issuer. The Advent Directors have filed separate Section 16 reports disclosing securities of the Issuer that they may be deemed to beneficially own for Section 16 purposes.   Exhibit 99.1 (Footnotes to Form 3) and Exhibit 99.2 (Signatures and Joint Filer Information) are incorporated by reference.   Form 1 of 3: This Form 3 is the first of three Forms 3 being filed relating to the same event. The Form 3 has been split into multiple filings because there are more than 10 Reporting Persons total, and the SEC's EDGAR filing system limits a single Form 3 to a maximum of 10 Reporting Persons. Each Form 3 will be filed by Designated Filer Advent International Corporation.",0001868726,OLPX,,,2021-09-30
0001140361-21-033163,1959763,Common Stock,,,578486455.0,F1,,I,,See notes,"F2, F3, F1",30-SEP-2021,30-SEP-2021,,0.0,,,,3,1868726,"OLAPLEX HOLDINGS, INC.",OLPX,Exhibit 99.1 (Footnotes to Form 3) is incorporated by reference.,0001868726,OLPX,,,2021-09-30
0001140361-21-033162,1959921,Common Stock,,,578486455.0,F1,,I,,See notes,"F2, F3, F1",30-SEP-2021,30-SEP-2021,,0.0,,,,3,1868726,"OLAPLEX HOLDINGS, INC.",OLPX,Exhibit 99.1 (Footnotes to Form 3) is incorporated by reference.,0001868726,OLPX,,,2021-09-30
0001140361-21-033161,1959907,Common Stock,,,578486455.0,F1,,I,,See notes,"F2, F3, F1",30-SEP-2021,30-SEP-2021,,0.0,,,,3,1868726,"OLAPLEX HOLDINGS, INC.",OLPX,Exhibit 99.1 (Footnotes to Form 3) is incorporated by reference.,0001868726,OLPX,,,2021-09-30
0000950142-21-003031,1959844,Class A Common Stock,,,1800000.0,,,I,,,,30-SEP-2021,28-SEP-2021,,,0,,,4,1411494,"Apollo Global Management, Inc.",APO,,0001411494,,,,2021-09-30
0000950142-21-003031,1959843,Class A Common Stock,,,1350000.0,,,D,,See footnote,F10,30-SEP-2021,28-SEP-2021,,,0,,,4,1411494,"Apollo Global Management, Inc.",APO,,0001411494,,,,2021-09-30
0000899243-21-038500,1959416,Common Stock,,,14871.0,F4,,D,,,,30-SEP-2021,30-SEP-2021,,,0,,,4,1826892,"BioAtla, Inc.",BCAB,,0001826892,BCAB,,,2021-09-30
