,close,volume,return_1d,return_3d,return_5d,ma_5,ma_10,ma_20,volatility_5d,volatility_10d,rsi_14,macd,macd_signal,bollinger_upper,bollinger_lower,bollinger_width,volume_zscore,volume_spike,sentiment_score,is_pandemic,insider_net_shares,insider_7d,insider_21d
AAPL_target_1d,0.046951935,0.04598908,0.05639888,0.057190496,0.05156025,0.056326974,0.045802318,0.056031015,0.045784637,0.04754886,0.050475817,0.049042743,0.053428948,0.056744434,0.058319625,0.050792634,0.053322587,0.0,0.0,0.0,0.051282592,0.032405443,0.0346007
AAPL_target_3d,0.06131741,0.036081597,0.03583421,0.039743155,0.04296246,0.055093896,0.06141118,0.05317201,0.047320724,0.050867397,0.050749242,0.042498626,0.043105308,0.046083882,0.059768178,0.044203553,0.03429195,0.0,0.0,0.04363619,0.07829315,0.018475989,0.05508983
AAPL_target_5d,0.05609265,0.047953773,0.032645524,0.03976425,0.041174684,0.07428422,0.07922757,0.05603366,0.051297896,0.051574245,0.03613333,0.056387566,0.06051556,0.08711028,0.05393871,0.04855073,0.033399217,0.0,0.0,0.026324816,0.042609237,0.0,0.0249821
AMD_target_1d,0.043728743,0.051635616,0.046565168,0.046871066,0.05023826,0.044219967,0.043960143,0.048316143,0.045528688,0.05501746,0.044423066,0.039893772,0.042932786,0.047297936,0.035791006,0.044546492,0.049349982,0.0,0.0,0.055334672,0.042465936,0.05797431,0.063908786
AMD_target_3d,0.042224295,0.045291163,0.035498664,0.039563518,0.038399294,0.04434979,0.06362551,0.050772898,0.045392275,0.048180073,0.052174106,0.041906085,0.050492223,0.056771666,0.050506137,0.047404774,0.036242537,0.0,0.0,0.08394988,0.037910827,0.048184972,0.041159336
AMD_target_5d,0.053279616,0.04003764,0.031774763,0.04200649,0.042490646,0.045682676,0.046238557,0.087604344,0.03217647,0.04820317,0.044967208,0.049658686,0.06001375,0.084999636,0.065666236,0.052747846,0.03610089,0.0,0.0,0.06451071,0.018583883,0.031293396,0.021963432
AXP_target_1d,0.04966888,0.04711755,0.048068475,0.04519075,0.04389729,0.061921906,0.05088052,0.04407701,0.05059193,0.046193864,0.047733944,0.042593736,0.04206843,0.048415665,0.04973479,0.051778562,0.047516614,0.0,0.0,0.058696356,0.02112577,0.051431652,0.05129633
AXP_target_3d,0.050692163,0.035933245,0.036714587,0.038401924,0.048245,0.06578135,0.06023872,0.052720178,0.04339191,0.04609837,0.04408147,0.04932756,0.042217534,0.055342585,0.07169567,0.045843054,0.04195244,0.0,0.0,0.024939077,0.05074102,0.041618288,0.05402391
AXP_target_5d,0.07492222,0.044233445,0.030109765,0.04465047,0.054482814,0.053300805,0.06635846,0.054002237,0.044038735,0.045419436,0.044659764,0.044184033,0.05802492,0.0765788,0.06380811,0.048269942,0.034367763,0.0,0.0,0.015665073,0.06337881,0.03954441,0.0
BSX_target_1d,0.03495838,0.043074306,0.047844637,0.049085017,0.048632167,0.047747344,0.048327535,0.046440683,0.04469282,0.041452162,0.05200744,0.044038564,0.04550085,0.0437895,0.056767195,0.040372744,0.054759067,0.0,0.0,0.04707689,0.06029801,0.05298749,0.050147194
BSX_target_3d,0.050719768,0.037496,0.033043362,0.046412367,0.051056758,0.060338426,0.054082178,0.05385808,0.04033674,0.037644833,0.04881588,0.05130686,0.04957277,0.06929581,0.037906233,0.046223428,0.03249361,0.0,0.0,0.042522028,0.04128253,0.06747142,0.04812099
BSX_target_5d,0.057331245,0.03253104,0.030033717,0.04123686,0.040373296,0.06394437,0.0529717,0.0563551,0.03395897,0.051963095,0.047777742,0.05419883,0.051864546,0.07516812,0.061251126,0.04464895,0.028678909,0.0,0.0,0.048583683,0.030300694,0.06878192,0.028046012
CNC_target_1d,0.0555685,0.049524605,0.052159857,0.044912297,0.04888361,0.047684517,0.037590973,0.0510534,0.05432717,0.05186066,0.044572584,0.043759167,0.038953956,0.0467352,0.053037986,0.0426876,0.04578834,0.0,0.0,0.04806125,0.035113536,0.048322797,0.059401944
CNC_target_3d,0.04742303,0.040264916,0.039052628,0.03423588,0.04321368,0.06141994,0.046821207,0.06341351,0.03604923,0.054685503,0.0532127,0.054938495,0.051766697,0.075009845,0.06008728,0.05005385,0.03609245,0.0,0.0,0.039235,0.042806815,0.0213012,0.048916083
CNC_target_5d,0.05246706,0.034205716,0.02968504,0.03282933,0.04327811,0.06291498,0.058652073,0.066175595,0.049469363,0.049903154,0.04572611,0.054365505,0.054357965,0.058180157,0.07466283,0.044437483,0.042219583,0.0,0.0,0.054094058,0.044860333,0.019470071,0.028045634
CRWD_target_1d,0.05850871,0.04538433,0.046656583,0.039728157,0.043019332,0.042435225,0.04412607,0.047953673,0.045779295,0.052179538,0.049244944,0.060731146,0.06325536,0.05012163,0.06336341,0.050910376,0.038281687,0.0,0.0,0.017201412,0.04633923,0.053571742,0.041208167
CRWD_target_3d,0.046861384,0.03415181,0.036404982,0.036167253,0.041736603,0.055071365,0.05983959,0.05685043,0.037855674,0.03930449,0.042254463,0.05464661,0.040135954,0.04847178,0.04924622,0.045108456,0.03269742,0.0,0.0,0.10780294,0.057517342,0.055230025,0.022645254
CRWD_target_5d,0.038280386,0.021154046,0.022094892,0.027514586,0.04142945,0.045087054,0.05661587,0.08105694,0.03637757,0.0323828,0.037177056,0.049224533,0.036511626,0.05690942,0.048562698,0.046650317,0.03159517,0.0,0.0,0.17602403,0.0226022,0.037120994,0.055628423
DDOG_target_1d,0.039092235,0.050200578,0.055450995,0.05025489,0.043538753,0.05807273,0.044047616,0.042884324,0.04360389,0.045507126,0.048629023,0.054610115,0.042127684,0.059949648,0.047566153,0.051339176,0.05160469,0.0,0.0,0.0092553105,0.05942187,0.051682673,0.05116036
DDOG_target_3d,0.051168233,0.03884219,0.03888349,0.040224753,0.048303716,0.06513324,0.072973035,0.041142214,0.04639539,0.050583735,0.041552376,0.042920664,0.037935935,0.051732782,0.054741476,0.04699928,0.0354288,0.0,0.0,0.03739259,0.05149334,0.045876414,0.06027637
DDOG_target_5d,0.056314748,0.04336712,0.031928517,0.026926715,0.037012752,0.05065405,0.055212304,0.07027047,0.03759243,0.05161508,0.035763156,0.06220752,0.047495455,0.050349828,0.054820262,0.04701708,0.03654547,0.0,0.0,0.07057272,0.061167214,0.02615932,0.04700774
DUOL_target_1d,0.050914522,0.040261913,0.04527371,0.041908387,0.054833136,0.053792045,0.04949752,0.054261778,0.03397398,0.048405237,0.044755172,0.050501987,0.04305102,0.04383044,0.04524476,0.05110856,0.04806158,0.0,0.0,0.02449416,0.047977317,0.05042993,0.077422835
DUOL_target_3d,0.050465733,0.043941904,0.033843957,0.03756392,0.046818353,0.04677257,0.05536734,0.046807263,0.044261474,0.040112708,0.041978717,0.041390795,0.062801264,0.05607045,0.06495588,0.03783407,0.038861312,0.0,0.0,0.10758965,0.047581773,0.023575652,0.031405155
DUOL_target_5d,0.063652806,0.053293504,0.024444856,0.044189516,0.037906803,0.034963284,0.055730686,0.07857704,0.039066523,0.036760844,0.04338846,0.05014235,0.06331709,0.06527905,0.048042804,0.047675665,0.03378084,0.0,0.0,0.0066680717,0.06371085,0.07894457,0.030464446
GOOG_target_1d,0.04422898,0.04534233,0.047333416,0.04424583,0.04137893,0.036268167,0.050286148,0.047955368,0.04337871,0.043219894,0.04726728,0.048544306,0.046494763,0.055705152,0.053184744,0.044467352,0.04320408,0.0,0.0,0.063585006,0.040821366,0.06459148,0.04849671
GOOG_target_3d,0.050808392,0.04430839,0.033051718,0.043402225,0.041911956,0.051884387,0.04932976,0.04934686,0.044674177,0.04662499,0.04494944,0.042358514,0.045586966,0.050302304,0.05623268,0.051821876,0.039138082,0.0,0.0,0.06558041,0.034651015,0.05551453,0.058521315
GOOG_target_5d,0.04716413,0.035018574,0.029131118,0.03620483,0.036482506,0.063482694,0.042364646,0.05419032,0.037669007,0.04486726,0.037029043,0.044000335,0.053384714,0.06396966,0.044365175,0.04363775,0.03525717,0.0,0.0,0.1179066,0.057048414,0.033886246,0.04293971
JNJ_target_1d,0.046350867,0.048899844,0.04219907,0.041367322,0.042373788,0.043663908,0.057067644,0.041621495,0.05034003,0.04870399,0.0399729,0.04674109,0.048237693,0.032795347,0.061607298,0.0520929,0.04133582,0.0,0.0,0.013753578,0.06968205,0.098359376,0.03283401
JNJ_target_3d,0.05026963,0.037493866,0.030641723,0.046691086,0.045668323,0.05113286,0.047188934,0.055777874,0.042290468,0.058608428,0.039939266,0.04837855,0.05809275,0.047875695,0.07464867,0.04755526,0.042751342,0.0,0.0,0.054843973,0.030593093,0.0507453,0.038812928
JNJ_target_5d,0.046557862,0.04099058,0.03212796,0.044797808,0.04383614,0.07023849,0.055704847,0.053186778,0.048921037,0.049123865,0.04499471,0.054834824,0.062481523,0.055831186,0.08460712,0.043917432,0.030927014,0.0,0.0,0.023855595,0.109859675,0.003205468,0.0
META_target_1d,0.045725625,0.043705553,0.048484977,0.044952992,0.04722549,0.04012689,0.04571672,0.046952546,0.041169602,0.04762805,0.045710105,0.048610866,0.052166276,0.042277806,0.051343806,0.04641202,0.048775103,0.0,0.0,0.063797414,0.056237686,0.0411878,0.051792752
META_target_3d,0.054490317,0.041546095,0.03218197,0.03702435,0.039808914,0.06293713,0.061391458,0.07430303,0.03764791,0.047651734,0.042742282,0.045724064,0.055984005,0.059064925,0.06841434,0.047387816,0.038627487,0.0,0.0,0.033327162,0.040870354,0.03230056,0.04657409
META_target_5d,0.050397336,0.04126909,0.029908678,0.029653879,0.049928613,0.061680093,0.05823925,0.057198785,0.033047672,0.044430032,0.036228694,0.040873747,0.06026282,0.052799765,0.065175965,0.051390987,0.037114505,0.0,0.0,0.115298726,0.0139102265,0.032019094,0.039171994
MP_target_1d,0.052971892,0.045061745,0.038652405,0.046348963,0.043359682,0.0436541,0.037008,0.049052086,0.04811245,0.044503972,0.035439104,0.039397504,0.040153507,0.03969345,0.051743295,0.048010968,0.036540832,0.0,0.0,0.10394957,0.11169039,0.0016425179,0.043013576
MP_target_3d,0.050504927,0.03976535,0.033252787,0.048297387,0.04614651,0.042948272,0.04145034,0.06140923,0.036283907,0.04648616,0.039428607,0.053469762,0.059892785,0.053154632,0.048161473,0.04163563,0.03518355,0.0,0.0,0.062341336,0.06363835,0.08252788,0.0140212225
MP_target_5d,0.051863723,0.030220715,0.03274169,0.033114705,0.033312585,0.07513442,0.05754704,0.06513412,0.034984026,0.046370663,0.043298405,0.050172403,0.05253913,0.05976871,0.050854255,0.03469757,0.036274496,0.0,0.0,0.10528036,0.10669105,0.0,0.0
MRNA_target_1d,0.04981809,0.04756067,0.044639215,0.045678537,0.044947132,0.03994011,0.045610227,0.057674255,0.044812277,0.047172446,0.045767214,0.048654273,0.04530999,0.0636861,0.04905794,0.04763467,0.045764565,0.0,0.0,0.04830124,0.031000433,0.05508626,0.05188441
